measure;reference;other;l;n;distance
kullback_leibler;juged_good;juged_bad;0.25;4;0.648290618326
kullback_leibler;juged_good;juged_bad;0.5;4;0.464981538004
kullback_leibler;juged_good;juged_bad;0.05;5;1.30579440177
kullback_leibler;juged_good;juged_bad;0.25;5;0.739240142065
kullback_leibler;juged_good;juged_bad;0.5;5;0.49832878958
kullback_leibler;juged_good;juged_bad;0.05;6;1.52115106745
kullback_leibler;juged_good;juged_bad;0.25;6;0.808699909328
kullback_leibler;juged_good;juged_bad;0.5;6;0.518188712337
kullback_leibler;juged_good;juged_bad;0.05;7;1.67000455317
kullback_leibler;juged_good;juged_bad;0.25;7;0.848139977245
kullback_leibler;juged_good;juged_bad;0.5;7;0.523599930815
kullback_leibler;juged_good;juged_bad;0.05;8;1.7826108984
kullback_leibler;juged_good;juged_bad;0.25;8;0.872396119909
kullback_leibler;juged_good;juged_bad;0.5;8;0.522649581043
mean_kullback_leibler;juged_good;juged_bad;0.05;1;0.150904250002
mean_kullback_leibler;juged_good;juged_bad;0.25;1;0.132451319665
mean_kullback_leibler;juged_good;juged_bad;0.5;1;0.124825824408
mean_kullback_leibler;juged_good;juged_bad;0.05;2;0.427450540895
mean_kullback_leibler;juged_good;juged_bad;0.25;2;0.313301948707
mean_kullback_leibler;juged_good;juged_bad;0.5;2;0.265706478016
mean_kullback_leibler;juged_good;juged_bad;0.05;3;0.721530597102
mean_kullback_leibler;juged_good;juged_bad;0.25;3;0.476690300756
mean_kullback_leibler;juged_good;juged_bad;0.5;3;0.373337345269
mean_kullback_leibler;juged_good;juged_bad;0.05;4;1.0274192679
mean_kullback_leibler;juged_good;juged_bad;0.25;4;0.620311239945
mean_kullback_leibler;juged_good;juged_bad;0.5;4;0.452132588132
mean_kullback_leibler;juged_good;juged_bad;0.05;5;1.25902333306
mean_kullback_leibler;juged_good;juged_bad;0.25;5;0.704926509752
mean_kullback_leibler;juged_good;juged_bad;0.5;5;0.483744908454
mean_kullback_leibler;juged_good;juged_bad;0.05;6;1.45192104328
mean_kullback_leibler;juged_good;juged_bad;0.25;6;0.762527531944
mean_kullback_leibler;juged_good;juged_bad;0.5;6;0.497166027139
mean_kullback_leibler;juged_good;juged_bad;0.05;7;1.58670413836
mean_kullback_leibler;juged_good;juged_bad;0.25;7;0.794960897631
mean_kullback_leibler;juged_good;juged_bad;0.5;7;0.498638250068
mean_kullback_leibler;juged_good;juged_bad;0.05;8;1.68085854972
mean_kullback_leibler;juged_good;juged_bad;0.25;8;0.81067078933
mean_kullback_leibler;juged_good;juged_bad;0.5;8;0.493103792562
symmetric_kullback_leibler;juged_good;juged_bad;0.05;1;0.301808500004
symmetric_kullback_leibler;juged_good;juged_bad;0.25;1;0.26490263933
symmetric_kullback_leibler;juged_good;juged_bad;0.5;1;0.249651648816
symmetric_kullback_leibler;juged_good;juged_bad;0.05;2;0.85490108179
symmetric_kullback_leibler;juged_good;juged_bad;0.25;2;0.626603897414
symmetric_kullback_leibler;juged_good;juged_bad;0.5;2;0.531412956031
symmetric_kullback_leibler;juged_good;juged_bad;0.05;3;1.4430611942
symmetric_kullback_leibler;juged_good;juged_bad;0.25;3;0.953380601512
symmetric_kullback_leibler;juged_good;juged_bad;0.5;3;0.746674690538
symmetric_kullback_leibler;juged_good;juged_bad;0.05;4;2.05483853581
symmetric_kullback_leibler;juged_good;juged_bad;0.25;4;1.24062247989
symmetric_kullback_leibler;juged_good;juged_bad;0.5;4;0.904265176264
symmetric_kullback_leibler;juged_good;juged_bad;0.05;5;2.51804666611
symmetric_kullback_leibler;juged_good;juged_bad;0.25;5;1.4098530195
symmetric_kullback_leibler;juged_good;juged_bad;0.5;5;0.967489816908
symmetric_kullback_leibler;juged_good;juged_bad;0.05;6;2.90384208656
symmetric_kullback_leibler;juged_good;juged_bad;0.25;6;1.52505506389
symmetric_kullback_leibler;juged_good;juged_bad;0.5;6;0.994332054278
symmetric_kullback_leibler;juged_good;juged_bad;0.05;7;3.17340827672
symmetric_kullback_leibler;juged_good;juged_bad;0.25;7;1.58992179526
symmetric_kullback_leibler;juged_good;juged_bad;0.5;7;0.997276500136
symmetric_kullback_leibler;juged_good;juged_bad;0.05;8;3.36171709943
symmetric_kullback_leibler;juged_good;juged_bad;0.25;8;1.62134157866
symmetric_kullback_leibler;juged_good;juged_bad;0.5;8;0.986207585125
