iteration;exchange_no;tar_WA;confirmation_type;taskID;system_prompt;user_utterance;sysSA;sysRep.field;userValues;userFields;Openness;indValues (y/n)?;system_words;numAVPs;NLUResult.values;NLUResult.fields;Correctly transmitted AVPs;Deletions;Substitutions;Insertions;PA:CO;PA:PA;PA:FA;PA:IC;#constraints left in agenda;numGoalChanges;indices of provided restaurants;user.task.time;user.task.date;user.task.foodtype;user.task.price;user.task.localization;system.state.time;system.state.date;system.state.foodtype;system.state.price;system.state.localization;numConceptsIntroducedSoFar;ASRModel used (1=simple, 2=abstract, 3=concrete);barge-in;userSA;user_words;structS.time;structS.date;structS.foodtype;structS.price;structS.localization;user.scen.time;user.scen.date;user.scen.foodtype;user.scen.price;user.scen.localization;b0;judgement
3;4;70;0;3;Bevorzugen Sie eine bestimmte Küche, zum Beispiel italienisch, französisch, griechisch... ?;Chinesisch.  ;request;foodtype;chinese ;foodtype ;closed;1;10;1;chinese ;foodtype ;1;0;0;0;1;0;0;0;1;0;;midday;neutral;chinese;expensive;centre;midday ;;;;centre ;4;0;0;provide ;1;hor ;hor ;;;loc01 ;midday;neutral;chinese;expensive;centre;4;bad
3;5;70;0;3;An welchem Tag beabsichtigen Sie essen zu gehen? ;Montags.  ;request;date;monday ;date ;closed;0;8;1;;;0;1;0;0;0;0;1;0;1;1;;midday;monday;chinese;expensive;centre;midday ;;chinese ;;centre ;5;0;0;provide ;1;hor ;hor ;cui35 ;;loc01 ;midday;neutral;chinese;expensive;centre;4;bad
3;6;70;0;3;An welchem Tag beabsichtigen Sie essen zu gehen? ;Am Dienstag.  ;request;date;tuesday ;date ;closed;0;8;1;tuesday ;date ;1;0;0;0;1;0;0;0;1;2;;midday;tuesday;chinese;expensive;centre;midday ;;chinese ;;centre ;6;0;0;provide ;2;hor ;hor ;cui35 ;;loc01 ;midday;neutral;chinese;expensive;centre;4;bad
3;7;70;0;3;Wieviel möchten Sie ungefähr pro Person ausgeben?;30 Euro.  ;request;price;expensive ;price ;closed;0;7;1;;;0;1;0;0;0;0;1;0;0;2;;midday;tuesday;chinese;expensive;centre;midday ;tuesday ;chinese ;;centre ;7;0;0;provide ;2;;;cui35 ;;loc01 ;midday;neutral;chinese;expensive;centre;4;bad
3;8;70;0;3;Wieviel möchten Sie ungefähr pro Person ausgeben?;40 Euro.  ;request;price;expensive ;price ;closed;0;7;1;;;0;1;0;0;0;0;1;0;0;2;;midday;tuesday;chinese;expensive;centre;midday ;tuesday ;chinese ;;centre ;7;0;0;provide ;2;;hor ;cui35 ;;loc01 ;midday;neutral;chinese;expensive;centre;4;bad
3;9;70;0;3;Wieviel möchten Sie ungefähr pro Person ausgeben?;40 Euro.  ;request;price;expensive ;price ;closed;0;7;1;;;0;1;0;0;0;0;1;0;0;2;;midday;tuesday;chinese;expensive;centre;midday ;tuesday ;chinese ;;centre ;7;0;0;provide ;2;hor ;hor ;cui35 ;;loc01 ;midday;neutral;chinese;expensive;centre;4;bad
3;10;70;0;3;Wieviel möchten Sie ungefähr pro Person ausgeben?;20 Euro.  ;request;price;average ;price ;closed;0;7;1;;;0;1;0;0;0;0;1;0;0;3;;midday;tuesday;chinese;average;centre;midday ;tuesday ;chinese ;;centre ;8;0;0;provide ;2;hor ;hor ;cui35 ;;loc01 ;midday;neutral;chinese;neutral;centre;4;bad
3;11;70;0;3;Wieviel möchten Sie ungefähr pro Person ausgeben?;10 Euro.  ;request;price;cheap ;price ;closed;0;7;1;cheap ;price ;1;0;0;0;1;0;0;0;0;4;;midday;tuesday;chinese;cheap;centre;midday ;tuesday ;chinese ;;centre ;9;0;0;provide ;2;hor ;hor ;cui35 ;;loc01 ;midday;neutral;chinese;neutral;centre;4;bad
3;12;70;0;3;Es gibt mehrere auf Ihre Anfrage passende Restaurants.  {Mandarin Peking          Herner Str. 127 } {Ozean                    Kortumstr. 101  } {Shanghai                 Brüderstr. 2    } Vielen dank, dass sie Boris benutzt haben. Auf Wiedersehen und einen schönen Abend! ;;inform;;;;na;0;32;0;;;;;;;;;;;0;4; 86 87 89;midday;tuesday;chinese;cheap;centre;midday ;tuesday ;chinese ;cheap ;centre ;9;;0;;0;hor ;hor ;cui35 ;prx3 ;loc01 ;midday;neutral;chinese;expensive;centre;4;bad
4;1;100;0;4;Guten Abend! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Boris erlaubt es Ihnen, eine Recherche nach den folgenden Kriterien durchzuführen: der Art der Küche, der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Stellen Sie bitte Ihre Frage.;Der ungefähre Ort des Restaurants.  ;request;ALL;localization ;field ;open;1;46;1;localization foodtype ;field field ;1;0;0;1;0;0;0;1;3;0;;neutral;neutral;italian;average;querenburg;;;;;;1;0;0;provide ;5;;;;;;neutral;neutral;italian;average;querenburg;3;bad
4;2;100;0;4;Sie haben folgende Auswahlmöglichkeiten: Stadtmitte, Uni-Center, andere Möglichkeiten oder keine Präferenz.;Uni-Center.  ;indicateValues1;localization;querenburg ;localization ;choice;1;11;1;;;0;1;0;0;0;0;1;0;2;0;;neutral;neutral;italian;average;querenburg;;;;;;2;0;0;provide ;2;;;;;;neutral;neutral;italian;average;querenburg;3;bad
4;3;100;0;4;Vom derzeitigen System können nur die folgenden Informationen bearbeitet werden: die Art der Küche, die Tageszeit und der Preis der Mahlzeit, der ungefähre Ort des Restaurants oder dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Art der Küche.  ;indicateValues;field;foodtype ;field ;open;1;33;1;foodtype ;field ;1;0;0;0;1;0;0;0;2;0;;neutral;neutral;italian;average;querenburg;;;;;;3;0;0;provide ;3;;hor ;;;;neutral;neutral;italian;average;querenburg;3;bad
4;4;100;0;4;Sie können zwischen den folgenden Möglichkeiten wählen: italienische, französische, griechische oder chinesische Küche oder keine Präferenz.;Italienische Küche.  ;indicateValues;foodtype;italian ;foodtype ;choice;1;16;1;italian foodtype ;foodtype field ;1;0;0;1;0;0;0;1;1;0;;neutral;neutral;italian;average;querenburg;;;;;;4;0;0;provide ;2;;hor ;;;;neutral;neutral;italian;average;querenburg;3;bad
4;5;100;0;4;Suchen Sie ein Restaurant für das Mittagessen oder für das Abendessen?;Das Mittagessen.  ;request;time;midday ;time ;choice;1;11;1;midday ;time ;1;0;0;0;1;0;0;0;1;1;;midday;neutral;italian;average;querenburg;;;italian ;;;5;0;0;provide ;2;hor ;hor ;cui20 ;;;neutral;neutral;italian;average;querenburg;3;bad
4;6;100;0;4;An welchem Tag beabsichtigen Sie essen zu gehen? ;Dienstag.  ;request;date;tuesday ;date ;closed;0;8;1;tuesday ;date ;1;0;0;0;1;0;0;0;1;2;;midday;tuesday;italian;average;querenburg;midday ;;italian ;;;6;0;0;provide ;1;hor ;hor ;cui20 ;;;neutral;neutral;italian;average;querenburg;3;bad
4;7;100;0;4;Wieviel möchten Sie ungefähr pro Person ausgeben?;15 Euro.  ;request;price;average ;price ;closed;0;7;1;average ;price ;1;0;0;0;1;0;0;0;0;2;;midday;tuesday;italian;average;querenburg;midday ;tuesday ;italian ;;;7;0;0;provide ;2;;;cui20 ;;;neutral;neutral;italian;average;querenburg;3;bad
4;8;100;0;4;Es gibt mehrere auf Ihre Anfrage passende Restaurants.  {Basilea am alten Rathaus Untermarkt 10    } {Da Capo                  Springerplatz 34} {Pinocchio Hörder Str. 330} Vielen dank, dass sie Boris benutzt haben. Auf Wiedersehen und einen schönen Abend! ;;inform;;;;na;0;35;0;;;;;;;;;;;0;2; 119 121 139;midday;tuesday;italian;average;querenburg;midday ;tuesday ;italian ;average ;;7;;0;;0;hor ;hor ;cui20 ;prx5 ;;neutral;neutral;italian;average;querenburg;3;bad
6;1;70;0;1;Guten Abend! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Boris erlaubt es Ihnen, eine Recherche nach den folgenden Kriterien durchzuführen: der Art der Küche, der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Stellen Sie bitte Ihre Frage.;Ich möchte Ente essen.  ;request;ALL;poultry ;foodtype ;open;1;46;1;poultry ;foodtype ;1;0;0;0;1;0;0;0;0;0;;neutral;neutral;poultry;neutral;neutral;;;;;;1;0;0;provide ;4;;;;;;neutral;neutral;poultry;neutral;neutral;3.2;bad
6;2;70;0;1;Es gibt mehrere auf Ihre Anfrage passende Restaurants.  {Haus Oekey                Auf dem Alten Kamp 10} {China                    Brückstr. 47    } {Mandarin Peking          Herner Str. 127 } Vielen dank, dass sie Boris benutzt haben. Auf Wiedersehen und einen schönen Abend! ;;inform;;;;na;0;36;0;;;;;;;;;;;0;0; 33 79 86;neutral;neutral;poultry;neutral;neutral;;;poultry ;;;1;;0;;0;hor ;hor ;cui11 ;;;neutral;neutral;poultry;neutral;neutral;3.2;bad
9;1;100;0;4;Guten Abend! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Boris erlaubt es Ihnen, eine Recherche nach den folgenden Kriterien durchzuführen: der Art der Küche, der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Stellen Sie bitte Ihre Frage.;Wo kann in Bochum im Uni-Center italienisch essen gehen?  ;request;ALL;italian querenburg ;foodtype localization ;open;1;46;2;italian ;foodtype ;1;1;0;0;0;1;0;0;1;0;;neutral;neutral;italian;average;querenburg;;;;;;2;0;0;provide ;10;;;;;;neutral;neutral;italian;average;querenburg;4.1;bad
9;2;100;0;4;Suchen Sie ein Restaurant für das Mittagessen oder für das Abendessen?;Das ist egal.  ;request;time;neutral ;time ;choice;1;11;1;neutral neutral ;time logical ;1;0;0;1;0;0;0;1;1;0;;neutral;neutral;italian;average;querenburg;;;italian ;;;3;0;0;provide ;3;;hor ;cui20 ;;;neutral;neutral;italian;average;querenburg;4.1;bad
9;3;100;0;4;An welchem Tag beabsichtigen Sie essen zu gehen? ;Heute.  ;request;date;friday ;date ;closed;0;8;1;friday ;date ;1;0;0;0;1;0;0;0;1;1;;neutral;friday;italian;average;querenburg;neutral ;;italian ;;;4;0;0;provide ;1;hor ;hor ;cui20 ;;;neutral;neutral;italian;average;querenburg;4.1;bad
9;4;100;0;4;Wieviel möchten Sie ungefähr pro Person ausgeben?;Ich möchte einen mittleren Preis.  ;request;price;average ;price ;closed;0;7;1;price ;field ;0;1;0;1;0;0;0;1;0;1;;neutral;friday;italian;average;querenburg;neutral ;friday ;italian ;;;5;0;0;provide ;5;hor ;hor ;cui20 ;;;neutral;neutral;italian;average;querenburg;4.1;bad
9;5;100;0;4;Sie haben folgende Auswahlmöglichkeiten: obere, mittlere, oder untere Preisklasse oder keine Präferenz.;Mittlere Preisklasse.  ;indicateValues;price;average ;price ;choice;1;12;1;;;0;1;0;0;0;0;1;0;0;1;;neutral;friday;italian;average;querenburg;neutral ;friday ;italian ;;;5;0;0;provide ;2;hor ;hor ;cui20 ;;;neutral;neutral;italian;average;querenburg;4.1;bad
9;6;100;0;4;Wieviel möchten Sie ungefähr pro Person ausgeben?;10 Euro.  ;request;price;cheap ;price ;closed;0;7;1;cheap ;price ;1;0;0;0;1;0;0;0;0;2;;neutral;friday;italian;cheap;querenburg;neutral ;friday ;italian ;;;6;0;0;provide ;2;hor ;hor ;cui20 ;;;neutral;neutral;italian;cheap;querenburg;4.1;bad
9;7;100;0;4;In welchem Stadtteil möchten Sie essen gehen?;Im Uni-Center in Querenburg.  ;request;localization;querenburg ;localization ;closed;0;7;1;querenburg ;localization ;1;0;0;0;1;0;0;0;0;2;;neutral;friday;italian;cheap;querenburg;neutral ;friday ;italian ;cheap ;;6;0;0;provide ;5;hor ;hor ;cui20 ;prx3 ;;neutral;neutral;italian;cheap;querenburg;4.1;bad
9;8;100;0;4;Es gibt mehrere auf Ihre Anfrage passende Restaurants.  {Summa cum Laude          Querenburger Höhe 282} {Mediteranee Querenburger Höhe 267} Vielen dank, dass sie Boris benutzt haben. Auf Wiedersehen und einen schönen Abend! ;;inform;;;;na;0;31;0;;;;;;;;;;;0;2; 58 136;neutral;friday;italian;cheap;querenburg;neutral ;friday ;italian ;cheap ;querenburg ;6;;0;;0;hor ;hor ;cui20 ;prx3 ;loc12 ;neutral;neutral;italian;cheap;querenburg;4.1;bad
11;1;100;0;1;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Ich möchte gerne wissen, wo ich Ente essen könnte.  ;request;ALL;poultry ;foodtype ;open;1;41;1;poultry yes ;foodtype logical ;1;0;0;1;0;0;0;1;0;0;;neutral;neutral;poultry;neutral;neutral;;;;;;1;0;0;provide ;9;;;;;;neutral;neutral;poultry;neutral;neutral;3.2;bad
11;2;100;0;1;Es gibt mehrere auf Ihre Anfrage passende Restaurants.  {Haus Oekey                Auf dem Alten Kamp 10} {China                    Brückstr. 47    } {Mandarin Peking          Herner Str. 127 } Vielen dank, dass Sie Boris benutzt haben. Auf Wiederhören und einen schönen Tag! ;;inform;;;;na;0;36;0;;;;;;;;;;;0;0; 33 79 86;neutral;neutral;poultry;neutral;neutral;;;poultry ;;;1;;0;;0;hor ;hor ;cui11 ;;;neutral;neutral;poultry;neutral;neutral;3.2;bad
12;1;100;0;2;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Ich möchte gerne Dienstag Abend in Grumme griechisch essen gehen. Der Preis soll dabei gering sein.  ;request;ALL;tuesday greek evening cheap grumme ;date foodtype time price localization ;open;1;41;5;tuesday evening grumme price ;date time localization field ;3;2;0;1;0;0;0;1;0;0;;evening;tuesday;greek;cheap;grumme;;;;;;5;0;0;provide ;16;;;;;;evening;tuesday;greek;cheap;grumme;4.6;bad
12;2;100;0;2;Sie haben folgende Auswahlmöglichkeiten: obere, mittlere, oder untere Preisklasse oder keine Präferenz.;Untere Preisklasse.  ;indicateValues;price;cheap ;price ;choice;1;12;1;;;0;1;0;0;0;0;1;0;0;0;;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;;;grumme ;5;0;0;provide ;2;hor3 hor6 hor9 hor12 hor15 hor18 hor21 ;hor4 hor5 hor6 ;;;loc7 ;evening;tuesday;greek;cheap;grumme;4.6;bad
12;3;100;0;2;Bevorzugen Sie eine bestimmte Küche, zum Beispiel italienisch, französisch, griechisch... ?;Griechisch.  ;request;foodtype;greek ;foodtype ;closed;1;10;1;greek ;foodtype ;1;0;0;0;1;0;0;0;0;0;;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;;;grumme ;5;0;0;provide ;1;hor6 ;hor6 ;;;loc7 ;evening;tuesday;greek;cheap;grumme;4.6;bad
12;4;100;0;2;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;Ja.  ;offerModification;logical;yes ;logical ;choice;0;13;1;yes ;logical ;1;0;0;0;1;0;0;0;0;0;;evening;tuesday;greek;cheap;weitmar;evening ;tuesday ;greek ;;grumme ;5;0;0;accept ;1;hor6 ;hor6 ;cui22 ;;loc7 ;evening;tuesday;greek;cheap;weitmar;4.6;bad
12;5;100;0;2;Sie können die Art der Küche, die Tageszeit oder den Preis der Mahlzeit, den ungefähren Ort des Restaurants oder dessen Öffnungszeiten ändern. Geben Sie bitte Ihre Änderung an.;Ich möchte dann in Weitmar essen gehen.  ;request;field;weitmar ;localization ;closed;1;28;1;weitmar ;localization ;1;0;0;0;1;0;0;0;0;1;;evening;tuesday;greek;cheap;weitmar;evening ;tuesday ;greek ;;grumme ;6;0;0;provide ;7;hor6 ;hor6 ;cui22 ;;loc7 ;evening;tuesday;greek;cheap;weitmar;4.6;bad
12;6;100;0;2;Könnten Sie bitte den gewünschten Ort des Restaurants wiederholen?;Weitmar.  ;repetitionRequest;localization;weitmar ;localization ;closed;0;9;1;weitmar ;localization ;1;0;0;0;1;0;0;0;0;1;;evening;tuesday;greek;cheap;weitmar;evening ;tuesday ;greek ;;weitmar grumme ;6;0;0;provide ;1;hor6 ;hor6 ;cui22 ;;loc8 ;evening;tuesday;greek;cheap;weitmar;4.6;bad
12;7;100;0;2;Hier ist das passende Restaurant auf Ihre Anfrage.  {Arthemis                 Wasserstr. 149  } Vielen dank, dass Sie Boris benutzt haben. Auf Wiederhören und einen schönen Tag! ;;inform;;;;na;0;24;0;;;;;;;;;;;0;1;101;evening;tuesday;greek;cheap;weitmar;evening ;tuesday ;greek ;;weitmar grumme ;6;;0;;0;hor6 ;hor6 ;cui22 ;;loc8 ;evening;tuesday;greek;cheap;weitmar;4.6;bad
13;1;100;0;3;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Ich möchte gern in der Innenstadt chinesisch essen gehen. Hallo?  ;request;ALL;chinese centre ;foodtype localization ;open;1;41;2;chinese centre ;foodtype localization ;2;0;0;0;1;0;0;0;2;0;;midday;neutral;chinese;expensive;centre;;;;;;2;0;0;provide ;10;;;;;;midday;neutral;chinese;expensive;centre;4;bad
13;2;100;0;3;Suchen Sie ein Restaurant für das Mittagessen oder für das Abendessen?;Für die Mittagspause  ;request;time;midday ;time ;choice;1;11;1;;;0;1;0;0;0;0;1;0;1;0;;midday;neutral;chinese;expensive;centre;;;chinese ;;centre ;3;0;0;provide ;3;;hor ;cui35 ;;loc01 ;midday;neutral;chinese;expensive;centre;4;bad
13;3;100;0;3;Suchen Sie ein Restaurant für das Mittagessen oder für das Abendessen?;Für das Mittagessen.  ;request;time;midday ;time ;choice;1;11;1;midday ;time ;1;0;0;0;1;0;0;0;1;0;;midday;neutral;chinese;expensive;centre;;;chinese ;;centre ;3;0;0;provide ;3;hor ;hor ;cui35 ;;loc01 ;midday;neutral;chinese;expensive;centre;4;bad
13;4;100;0;3;An welchem Tag beabsichtigen Sie essen zu gehen? ;Am Montag.  ;request;date;monday ;date ;closed;0;8;1;monday ;date ;1;0;0;0;1;0;0;0;1;1;;midday;monday;chinese;expensive;centre;midday ;;chinese ;;centre ;4;0;0;provide ;2;hor ;hor ;cui35 ;;loc01 ;midday;neutral;chinese;expensive;centre;4;bad
13;5;100;0;3;Wieviel möchten Sie ungefähr pro Person ausgeben?;So 20 Euro.  ;request;price;average ;price ;closed;0;7;1;average ;price ;1;0;0;0;1;0;0;0;0;2;;midday;monday;chinese;average;centre;midday ;monday ;chinese ;;centre ;5;0;0;provide ;3;;;cui35 ;;loc01 ;midday;neutral;chinese;expensive;centre;4;bad
13;6;100;0;3;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;Ja.  ;offerModification;logical;yes ;logical ;choice;0;13;1;yes ;logical ;1;0;0;0;1;0;0;0;1;3;;midday;monday;chinese;expensive;centre;midday ;monday ;chinese ;average ;centre ;5;0;0;accept ;1;hor ;hor ;cui35 ;prx7 ;loc01 ;midday;neutral;chinese;expensive;centre;4;bad
13;7;100;0;3;Sie können die Art der Küche, die Tageszeit oder den Preis der Mahlzeit, den ungefähren Ort des Restaurants oder dessen Öffnungszeiten ändern. Geben Sie bitte Ihre Änderung an.;Den Preis auf 30 Euro.  ;request;field;expensive ;price ;closed;1;28;1;expensive ;price ;1;0;0;0;1;0;0;0;0;3;;midday;monday;chinese;expensive;centre;midday ;monday ;chinese ;average ;centre ;6;0;0;provide ;5;hor ;hor ;cui35 ;prx7 ;loc01 ;midday;neutral;chinese;expensive;centre;4;bad
13;8;100;0;3;Könnten Sie bitte den gewünschten Preis der Mahlzeit wiederholen?;30 Euro.  ;repetitionRequest;price;expensive ;price ;closed;0;9;1;expensive ;price ;1;0;0;0;1;0;0;0;0;3;;midday;monday;chinese;expensive;centre;midday ;monday ;chinese ;expensive average ;centre ;6;0;0;provide ;2;hor ;hor ;cui35 ;prx8 ;loc01 ;midday;neutral;chinese;expensive;centre;4;bad
13;9;100;0;3;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;Ja.  ;offerModification;logical;yes ;logical ;choice;0;13;1;yes ;logical ;1;0;0;0;1;0;0;0;0;3;;midday;monday;chinese;expensive;centre;midday ;monday ;chinese ;expensive average ;centre ;6;0;0;accept ;1;hor ;hor ;cui35 ;prx8 ;loc01 ;midday;neutral;chinese;expensive;centre;4;bad
13;10;100;0;3;Sie können die Art der Küche, die Tageszeit oder den Preis der Mahlzeit, den ungefähren Ort des Restaurants oder dessen Öffnungszeiten ändern. Geben Sie bitte Ihre Änderung an.;Den Preis auf 50 Euro.  ;request;field;expensive ;price ;closed;1;28;1;expensive price ;price field ;1;0;0;1;0;0;0;1;0;3;;midday;monday;chinese;expensive;centre;midday ;monday ;chinese ;expensive ;centre ;6;0;0;provide ;5;hor ;hor ;cui35 ;prx8 ;loc01 ;midday;neutral;chinese;expensive;centre;4;bad
13;11;100;0;3;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;Nein.  ;offerModification;logical;no ;logical ;choice;0;13;1;no ;logical ;1;0;0;0;1;0;0;0;0;3;;midday;monday;chinese;expensive;centre;midday ;monday ;chinese ;expensive ;centre ;6;0;0;neglect ;1;hor ;hor ;cui35 ;prx8 ;loc01 ;midday;neutral;chinese;expensive;centre;4;bad
13;12;100;0;3;Vielen dank, dass Sie Boris benutzt haben. Auf Wiederhören und einen schönen Tag!;;bye;bye;;;na;0;13;0;;;;;;;;;;;0;3;;midday;monday;chinese;expensive;centre;midday ;monday ;chinese ;expensive ;centre ;6;;0;;0;hor ;hor ;cui35 ;prx8 ;loc01 ;midday;neutral;chinese;expensive;centre;4;bad
