iteration;exchange_no;tar_WA;confirmation_type;taskID;system_prompt;user_utterance;sysSA;sysRep.field;userValues;userFields;Openness;indValues (y/n)?;system_words;numAVPs;NLUResult.values;NLUResult.fields;Correctly transmitted AVPs;Deletions;Substitutions;Insertions;PA:CO;PA:PA;PA:FA;PA:IC;#constraints left in agenda;numGoalChanges;indices of provided restaurants;user.task.time;user.task.date;user.task.foodtype;user.task.price;user.task.localization;system.state.time;system.state.date;system.state.foodtype;system.state.price;system.state.localization;numConceptsIntroducedSoFar;ASRModel used (1=simple, 2=abstract, 3=concrete);barge-in;userSA;user_words;structS.time;structS.date;structS.foodtype;structS.price;structS.localization;user.scen.time;user.scen.date;user.scen.foodtype;user.scen.price;user.scen.localization
31;7;60;1;1;Suchen Sie ein Restaurant für das Mittagessen oder für das Abendessen?;Mittagessen.  ;request;time;midday ;time ;choice;1;11;1;midday ;time ;1;0;0;0;1;0;0;0;0;1;;midday;neutral;poultry;neutral;neutral;;sunday ;poultry iberian chinese ;;;3;0;0;provide ;1;;hor ;cui35 ;;;neutral;neutral;poultry;neutral;neutral
31;8;60;1;1;Sie möchten also mittags essen gehen?;Ja.  ;explConfirm;;yes ;logical ;closed;0;6;1;yes ;logical ;1;0;0;0;1;0;0;0;0;1;;midday;neutral;poultry;neutral;neutral;midday ;sunday ;poultry iberian chinese ;;;3;0;0;affirm ;1;hor ;hor ;cui35 ;;;neutral;neutral;poultry;neutral;neutral
31;9;60;1;1;Wieviel möchten Sie ungefähr pro Person ausgeben?;Nicht so viel.  ;request;price;cheap ;price ;closed;0;7;1;cheap ;price ;1;0;0;0;1;0;0;0;0;2;;midday;neutral;poultry;cheap;neutral;midday ;sunday ;poultry iberian chinese ;;;4;0;0;provide ;3;hor ;hor ;cui35 ;;;neutral;neutral;poultry;neutral;neutral
31;10;60;1;1;Sie möchten also in der unteren Preisklasse essen gehen?;Ja.  ;explConfirm;;yes ;logical ;closed;0;9;1;yes ;logical ;1;0;0;0;1;0;0;0;0;2;;midday;neutral;poultry;cheap;neutral;midday ;sunday ;poultry iberian chinese ;cheap ;;4;0;0;affirm ;1;hor ;hor ;cui35 ;prx1 prx2 prx3 ;;neutral;neutral;poultry;neutral;neutral
31;11;60;1;1;In welchem Stadtteil möchten Sie essen gehen?;In Hamme.  ;request;localization;hamme ;localization ;closed;0;7;1;hamme ;localization ;1;0;0;0;1;0;0;0;0;3;;midday;neutral;poultry;cheap;hamme;midday ;sunday ;poultry iberian chinese ;cheap ;;5;0;0;provide ;2;hor ;hor ;cui35 ;prx1 prx2 prx3 ;;neutral;neutral;poultry;neutral;neutral
31;12;60;1;1;Sie möchten also in Hamme oder Hofstede essen gehen?;Ja.  ;explConfirm;;yes ;logical ;closed;0;9;1;yes ;logical ;1;0;0;0;1;0;0;0;0;3;;midday;neutral;poultry;cheap;hamme;midday ;sunday ;poultry iberian chinese ;cheap ;hamme ;5;0;0;affirm ;1;hor ;hor ;cui35 ;prx1 prx2 prx3 ;loc15 ;neutral;neutral;poultry;neutral;neutral
31;13;60;1;1;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;Ja.  ;offerModification;logical;yes ;logical ;choice;0;13;1;yes ;logical ;1;0;0;0;1;0;0;0;1;4;;midday;neutral;poultry;cheap;weitmar;midday ;sunday ;poultry iberian chinese ;cheap ;hamme ;5;0;0;accept ;1;hor ;hor ;cui35 ;prx1 prx2 prx3 ;loc15 ;neutral;neutral;poultry;neutral;neutral
31;14;60;1;1;Sie können die Art der Küche, die Tageszeit oder den Preis der Mahlzeit, den ungefähren Ort des Restaurants oder dessen Öffnungszeiten ändern. Geben Sie bitte Ihre Änderung an.;Dann möchte ich gerne in Weitmar essen.  ;request;field;weitmar ;localization ;closed;1;28;1;week yes neutral ;date logical logical ;0;1;0;3;0;0;0;1;0;4;;midday;neutral;poultry;cheap;weitmar;midday ;sunday ;poultry iberian chinese ;cheap ;hamme ;6;0;0;provide ;7;hor ;hor ;cui35 ;prx1 prx2 prx3 ;loc15 ;neutral;neutral;poultry;neutral;neutral
31;15;60;1;1;Könnten Sie bitte den gewünschten Wochentag wiederholen?;Sonntag.  ;repetitionRequest;date;sunday ;date ;closed;0;7;1;sunday ;date ;1;0;0;0;1;0;0;0;0;5;;midday;sunday;poultry;cheap;weitmar;midday ;week sunday ;poultry iberian chinese ;cheap ;hamme ;7;0;0;provide ;1;hor ;hor01 hor02 hor3 hor4 hor5 hor6 hor7 hor8 hor9 hor10 hor11 hor12 hor13 hor14 hor15 ;cui35 ;prx1 prx2 prx3 ;loc15 ;neutral;neutral;poultry;neutral;neutral
31;16;60;1;1;Sie möchten also Sonntag essen gehen?;Ja.  ;explConfirm;;yes ;logical ;closed;0;6;1;yes ;logical ;1;0;0;0;1;0;0;0;0;5;;midday;sunday;poultry;cheap;weitmar;midday ;sunday week ;poultry iberian chinese ;cheap ;hamme ;7;0;0;affirm ;1;;;cui35 ;prx1 prx2 prx3 ;loc15 ;neutral;neutral;poultry;neutral;neutral
31;17;60;1;1;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;Ja.  ;offerModification;logical;yes ;logical ;choice;0;13;1;yes time ;logical field ;1;0;0;1;0;0;0;1;0;5;;midday;sunday;poultry;cheap;langendreer;midday ;sunday ;poultry iberian chinese ;cheap ;hamme ;7;0;0;accept ;1;;hor ;cui35 ;prx1 prx2 prx3 ;loc15 ;neutral;neutral;poultry;neutral;neutral
31;18;60;1;1;Sie können die Art der Küche, die Tageszeit oder den Preis der Mahlzeit, den ungefähren Ort des Restaurants oder dessen Öffnungszeiten ändern. Geben Sie bitte Ihre Änderung an.;Dann möchte ich gerne in Bochum Werne essen gehen.  ;request;field;langendreer ;localization ;closed;1;28;1;langendreer yes ;localization logical ;1;0;0;1;0;0;0;1;0;6;;midday;sunday;poultry;cheap;langendreer;midday ;sunday ;poultry iberian chinese ;cheap ;hamme ;8;0;0;provide ;9;;hor ;cui35 ;prx1 prx2 prx3 ;loc15 ;neutral;neutral;poultry;neutral;neutral
31;19;60;1;1;Wiederholen Sie bitte den Ort des Restaurants.;Werne.  ;repetitionRequest;localization;langendreer ;localization ;closed;0;7;1;langendreer ;localization ;1;0;0;0;1;0;0;0;0;6;;midday;sunday;poultry;cheap;langendreer;midday ;sunday ;poultry iberian chinese ;cheap ;langendreer hamme ;8;0;0;provide ;1;;hor ;cui35 ;prx1 prx2 prx3 ;loc5 ;neutral;neutral;poultry;neutral;neutral
31;20;60;1;1;Sie möchten also in Langendreer oder Werne essen gehen?;Ja.  ;explConfirm;;yes ;logical ;closed;0;9;1;yes ;logical ;1;0;0;0;1;0;0;0;0;6;;midday;sunday;poultry;cheap;langendreer;midday ;sunday ;poultry iberian chinese ;cheap ;langendreer hamme ;8;0;0;affirm ;1;hor ;hor ;cui35 ;prx1 prx2 prx3 ;loc5 ;neutral;neutral;poultry;neutral;neutral
31;21;60;1;1;Hier ist das passende Restaurant auf Ihre Anfrage.  {Uri                      Werner Hellweg 465} Vielen dank, dass Sie Boris benutzt haben. Auf Wiederhören und einen schönen Tag! ;;inform;;;;na;0;25;0;;;;;;;;;;;0;6;94;midday;sunday;poultry;cheap;langendreer;midday ;sunday ;poultry iberian chinese ;cheap ;langendreer ;8;;0;;0;hor ;hor ;cui35 ;prx1 prx2 prx3 ;loc5 ;neutral;neutral;poultry;neutral;neutral
39;1;60;1;4;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Preis.  ;request;ALL;price ;field ;open;1;41;1;evening ;time ;0;1;0;1;0;0;0;1;3;0;;neutral;neutral;italian;average;querenburg;;;;;;1;0;0;provide ;1;;;;;;neutral;neutral;italian;average;querenburg
39;2;60;1;4;Sie möchten also abends essen gehen?;Nein.  ;explConfirm;;no ;logical ;closed;0;6;1;no ;logical ;1;0;0;0;1;0;0;0;3;0;;neutral;neutral;italian;average;querenburg;evening ;;;;;1;0;0;negate ;1;hor3 hor6 hor9 hor12 hor15 hor18 hor21 ;hor ;;;;neutral;neutral;italian;average;querenburg
39;3;60;1;4;Wiederholen Sie bitte die Tageszeit der Mahlzeit.;Kann ich, hallo, zurück?  ;repetitionRequest;time;not_classifiable ;action ;closed;0;7;1;;;0;1;0;0;0;0;1;0;3;0;;neutral;neutral;italian;average;querenburg;;;;;;2;0;0;;4;hor3 hor6 hor9 hor12 hor15 hor18 hor21 ;hor ;;;;neutral;neutral;italian;average;querenburg
39;4;60;1;4;Vom derzeitigen System können nur die folgenden Informationen bearbeitet werden: die Art der Küche, die Tageszeit und der Preis der Mahlzeit, der ungefähre Ort des Restaurants oder dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Der Preis.  ;indicateValues;field;price ;field ;open;1;33;1;evening ;time ;0;1;0;1;0;0;0;1;3;0;;neutral;neutral;italian;average;querenburg;;;;;;2;0;0;provide ;2;hor ;hor ;;;;neutral;neutral;italian;average;querenburg
39;5;60;1;4;Sie möchten also abends essen gehen?;Nein.  ;explConfirm;;no ;logical ;closed;0;6;1;no ;logical ;1;0;0;0;1;0;0;0;3;0;;neutral;neutral;italian;average;querenburg;evening ;;;;;2;0;0;negate ;1;hor ;hor ;;;;neutral;neutral;italian;average;querenburg
39;6;60;1;4;Wiederholen Sie bitte die Tageszeit der Mahlzeit.;Ach leck mich doch am Arsch, zurück.  ;repetitionRequest;time;not_classifiable ;action ;closed;0;7;1;yes ;logical ;0;1;0;1;0;0;0;1;3;0;;neutral;neutral;italian;average;querenburg;;;;;;2;0;0;;7;hor ;hor ;;;;neutral;neutral;italian;average;querenburg
39;7;60;1;4;Suchen Sie ein Restaurant für das Mittagessen oder für das Abendessen?;Kehr, leck mich doch am Arsch. Abendessen.  ;request;time;evening ;time ;choice;1;11;1;midday ;time ;0;0;1;0;0;0;0;1;3;1;;evening;neutral;italian;average;querenburg;;;;;;3;0;0;provide ;7;hor ;hor ;;;;neutral;neutral;italian;average;querenburg
39;8;60;1;4;Sie möchten also mittags essen gehen?;Hmhm. Ja von mir aus auch mittags. Ja. Ja.  ;explConfirm;;midday yes ;time logical ;closed;0;6;2;midday yes neutral ;time logical logical ;2;0;0;1;0;0;0;1;3;1;;evening;neutral;italian;average;querenburg;midday ;;;;;4;0;0;affirm provide ;9;hor ;hor ;;;;neutral;neutral;italian;average;querenburg
39;9;60;1;4;Bevorzugen Sie eine bestimmte Küche, zum Beispiel italienisch, französisch, griechisch... ?;Italienisch.  ;request;foodtype;italian ;foodtype ;closed;1;10;1;;;0;1;0;0;0;0;1;0;2;1;;evening;neutral;italian;average;querenburg;midday ;;;;;5;0;0;provide ;1;hor02 hor5 hor8 hor11 hor14 hor17 hor20 ;hor ;;;;neutral;neutral;italian;average;querenburg
39;10;60;1;4;Bevorzugen Sie eine bestimmte Küche, zum Beispiel italienisch, französisch, griechisch... ?;Italienisch.  ;request;foodtype;italian ;foodtype ;closed;1;10;1;italian ;foodtype ;1;0;0;0;1;0;0;0;2;1;;evening;neutral;italian;average;querenburg;midday ;;;;;5;0;0;provide ;1;hor ;hor ;;;;neutral;neutral;italian;average;querenburg
39;11;60;1;4;Sie möchten also italienisch essen gehen?;Ja.  ;explConfirm;;yes ;logical ;closed;0;6;1;yes ;logical ;1;0;0;0;1;0;0;0;2;1;;evening;neutral;italian;average;querenburg;midday ;;italian ;;;5;0;0;affirm ;1;hor ;hor ;cui20 ;;;neutral;neutral;italian;average;querenburg
39;12;60;1;4;An welchem Tag beabsichtigen Sie essen zu gehen? ;Heute.  ;request;date;sunday ;date ;closed;0;8;1;sunday ;date ;1;0;0;0;1;0;0;0;2;2;;evening;sunday;italian;average;querenburg;midday ;;italian ;;;6;0;0;provide ;1;hor ;hor ;cui20 ;;;neutral;neutral;italian;average;querenburg
39;13;60;1;4;Sie möchten also Sonntag essen gehen?;Ja.  ;explConfirm;;yes ;logical ;closed;0;6;1;yes ;logical ;1;0;0;0;1;0;0;0;2;2;;evening;sunday;italian;average;querenburg;midday ;sunday ;italian ;;;6;0;0;affirm ;1;hor ;hor ;cui20 ;;;neutral;neutral;italian;average;querenburg
39;14;60;1;4;Wieviel möchten Sie ungefähr pro Person ausgeben?;Mittlere Preisklasse.  ;request;price;average ;price ;closed;0;7;1;;;0;1;0;0;0;0;1;0;1;2;;evening;sunday;italian;average;querenburg;midday ;sunday ;italian ;;;7;0;0;provide ;2;hor ;hor ;cui20 ;;;neutral;neutral;italian;average;querenburg
39;15;60;1;4;Wieviel möchten Sie ungefähr pro Person ausgeben?;Mittlere Preisklasse.  ;request;price;average ;price ;closed;0;7;1;evening ;time ;0;1;0;1;0;0;0;1;1;2;;evening;sunday;italian;average;querenburg;midday ;sunday ;italian ;;;7;0;0;provide ;2;hor ;hor ;cui20 ;;;neutral;neutral;italian;average;querenburg
39;16;60;1;4;Könnten Sie bitte die gewünschte Tageszeit der Mahlzeit wiederholen?;Abendessen.  ;repetitionRequest;time;evening ;time ;closed;0;9;1;evening ;time ;1;0;0;0;1;0;0;0;1;2;;evening;sunday;italian;average;querenburg;evening midday ;sunday ;italian ;;;7;0;0;provide ;1;hor3 hor6 hor9 hor12 hor15 hor18 hor21 ;hor ;cui20 ;;;neutral;neutral;italian;average;querenburg
39;17;60;1;4;Sie möchten also abends essen gehen?;Ja.  ;explConfirm;;yes ;logical ;closed;0;6;1;midday yes ;time logical ;1;0;0;1;0;0;0;1;1;2;;evening;sunday;italian;average;querenburg;evening midday ;sunday ;italian ;;;7;0;0;affirm ;1;hor ;hor ;cui20 ;;;neutral;neutral;italian;average;querenburg
39;18;60;1;4;Wieviel möchten Sie ungefähr pro Person ausgeben?;10 Euro.  ;request;price;cheap ;price ;closed;0;7;1;;;0;1;0;0;0;0;1;0;1;3;;evening;sunday;italian;cheap;querenburg;midday evening ;sunday ;italian ;;;8;0;0;provide ;2;hor02 hor5 hor8 hor11 hor14 hor17 hor20 ;hor ;cui20 ;;;neutral;neutral;italian;average;querenburg
39;19;60;1;4;Wieviel möchten Sie ungefähr pro Person ausgeben?;Mittlere Preisklasse, mittlere.  ;request;price;average ;price ;closed;0;7;1;;;0;1;0;0;0;0;1;0;1;4;;evening;sunday;italian;average;querenburg;evening midday ;sunday ;italian ;;;8;0;0;provide ;3;hor ;hor ;cui20 ;;;neutral;neutral;italian;average;querenburg
39;20;60;1;4;Wieviel möchten Sie ungefähr pro Person ausgeben?;Mittlere.  ;request;price;average ;price ;closed;0;7;1;average ;price ;1;0;0;0;1;0;0;0;1;4;;evening;sunday;italian;average;querenburg;evening midday ;sunday ;italian ;;;8;0;0;provide ;1;hor ;hor ;cui20 ;;;neutral;neutral;italian;average;querenburg
39;21;60;1;4;Sie möchten also in der mittleren Preisklasse essen gehen?;Ja.  ;explConfirm;;yes ;logical ;closed;0;9;1;yes ;logical ;1;0;0;0;1;0;0;0;1;4;;evening;sunday;italian;average;querenburg;evening midday ;sunday ;italian ;average ;;8;0;0;affirm ;1;hor ;hor ;cui20 ;prx3 prx4 prx5 ;;neutral;neutral;italian;average;querenburg
39;22;60;1;4;Es gibt mehrere auf Ihre Anfrage passende Restaurants.  {Basilea am alten Rathaus Untermarkt 10    } {Da Capo                  Springerplatz 34} {Pinocchio Hörder Str. 330} Vielen dank, dass sie Boris benutzt haben. Auf Wiedersehen und einen schönen Abend! ;;inform;;;;na;0;35;0;;;;;;;;;;;1;4; 119 121 139;evening;sunday;italian;average;querenburg;evening midday ;sunday ;italian ;average ;;8;;0;;0;hor ;hor ;cui20 ;prx3 prx4 prx5 ;;neutral;neutral;italian;average;querenburg
42;1;60;1;2;Guten Abend! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Boris erlaubt es Ihnen, eine Recherche nach den folgenden Kriterien durchzuführen: der Art der Küche, der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Stellen Sie bitte Ihre Frage.;Ich möchte gerne am Dienstag Abend in Bochum Grumme griechisch essen gehen in der unteren Preisklasse.  ;request;ALL;tuesday greek evening cheap grumme ;date foodtype time price localization ;open;1;46;5;tuesday greek evening grumme ;date foodtype time localization ;4;1;0;0;0;1;0;0;0;0;;evening;tuesday;greek;cheap;grumme;;;;;;5;0;0;provide ;16;;;;;;evening;tuesday;greek;cheap;grumme
42;2;60;1;2;Sie möchten also Dienstag Abend in Grumme griechisch essen gehen?;Ja.  ;explConfirm;;yes ;logical ;closed;0;10;1;yes ;logical ;1;0;0;0;1;0;0;0;0;0;;evening;tuesday;greek;cheap;grumme;evening ;tuesday ;greek ;;grumme ;5;0;0;affirm ;1;hor6 ;hor6 ;cui22 ;;loc7 ;evening;tuesday;greek;cheap;grumme
42;3;60;1;2;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;Ja.  ;offerModification;logical;yes ;logical ;choice;0;13;1;yes ;logical ;1;0;0;0;1;0;0;0;1;1;;evening;tuesday;greek;cheap;weitmar;evening ;tuesday ;greek ;;grumme ;5;0;0;accept ;1;hor6 ;hor6 ;cui22 ;;loc7 ;evening;tuesday;greek;cheap;weitmar
42;4;60;1;2;Sie können die Art der Küche, die Tageszeit oder den Preis der Mahlzeit, den ungefähren Ort des Restaurants oder dessen Öffnungszeiten ändern. Geben Sie bitte Ihre Änderung an.;Ich möchte am Dienstag Abend in Bochum Weitmar griechisch essen gehen in der unteren Preisklasse.  ;request;field;tuesday greek evening cheap weitmar ;date foodtype time price localization ;closed;1;28;5;tuesday greek evening weitmar ;date foodtype time localization ;4;1;0;0;0;1;0;0;0;1;;evening;tuesday;greek;cheap;weitmar;evening ;tuesday ;greek ;;grumme ;6;0;0;provide ;15;hor6 ;hor6 ;cui22 ;;loc7 ;evening;tuesday;greek;cheap;weitmar
42;5;60;1;2;Könnten Sie bitte den gewünschten Ort des Restaurants wiederholen?;Weitmar.  ;repetitionRequest;localization;weitmar ;localization ;closed;0;9;1;weitmar ;localization ;1;0;0;0;1;0;0;0;0;1;;evening;tuesday;greek;cheap;weitmar;evening ;tuesday ;greek ;;weitmar grumme ;6;0;0;provide ;1;hor3 hor6 hor9 hor12 hor15 hor18 hor21 ;hor4 hor5 hor6 ;cui22 ;;loc8 ;evening;tuesday;greek;cheap;weitmar
42;6;60;1;2;Sie möchten also in Weitmar essen gehen?;Ja.  ;explConfirm;;yes ;logical ;closed;0;7;1;yes ;logical ;1;0;0;0;1;0;0;0;0;1;;evening;tuesday;greek;cheap;weitmar;evening ;tuesday ;greek ;;weitmar grumme ;6;0;0;affirm ;1;hor6 ;hor6 ;cui22 ;;loc8 ;evening;tuesday;greek;cheap;weitmar
42;7;60;1;2;Hier ist das passende Restaurant auf Ihre Anfrage.  {Arthemis                 Wasserstr. 149  } Vielen dank, dass sie Boris benutzt haben. Auf Wiedersehen und einen schönen Abend! ;;inform;;;;na;0;24;0;;;;;;;;;;;0;1;101;evening;tuesday;greek;cheap;weitmar;evening ;tuesday ;greek ;;weitmar ;6;;0;;0;hor6 ;hor6 ;cui22 ;;loc8 ;evening;tuesday;greek;cheap;weitmar
50;1;60;1;5;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Ich möchte ganz gerne gegen 22 Uhr essen gehen.  ;request;ALL;evening ;time ;open;1;41;1;evening ja ;time logical ;1;0;0;1;0;0;0;1;2;0;;evening;neutral;italian;cheap;neutral;;;;;;1;0;0;provide ;9;;;;;;neutral;neutral;italian;cheap;neutral
50;2;60;1;5;Sie möchten also abends essen gehen?;Richtig.  ;explConfirm;;yes ;logical ;closed;0;6;1;;;0;1;0;0;0;0;1;0;2;0;;evening;neutral;italian;cheap;neutral;evening ;;;;;1;0;0;affirm ;1;hor3 hor6 hor9 hor12 hor15 hor18 hor21 ;hor ;;;;neutral;neutral;italian;cheap;neutral
50;3;60;1;5;Wiederholen Sie bitte die Tageszeit der Mahlzeit.;22 Uhr.  ;repetitionRequest;time;evening ;time ;closed;0;7;1;evening ;time ;1;0;0;0;1;0;0;0;2;0;;evening;neutral;italian;cheap;neutral;;;;;;1;0;0;provide ;2;hor3 hor6 hor9 hor12 hor15 hor18 hor21 ;hor ;;;;neutral;neutral;italian;cheap;neutral
50;4;60;1;5;Sie möchten also abends essen gehen?;Ja.  ;explConfirm;;yes ;logical ;closed;0;6;1;yes ;logical ;1;0;0;0;1;0;0;0;2;0;;evening;neutral;italian;cheap;neutral;evening ;;;;;1;0;0;affirm ;1;hor ;hor ;;;;neutral;neutral;italian;cheap;neutral
50;5;60;1;5;Bevorzugen Sie eine bestimmte Küche, zum Beispiel italienisch, französisch, griechisch... ?;Italienisch.  ;request;foodtype;italian ;foodtype ;closed;1;10;1;;;0;1;0;0;0;0;1;0;1;0;;evening;neutral;italian;cheap;neutral;evening ;;;;;2;0;0;provide ;1;hor ;hor ;;;;neutral;neutral;italian;cheap;neutral
50;6;60;1;5;Bevorzugen Sie eine bestimmte Küche, zum Beispiel italienisch, französisch, griechisch... ?;Italienisch.  ;request;foodtype;italian ;foodtype ;closed;1;10;1;italian ;foodtype ;1;0;0;0;1;0;0;0;1;0;;evening;neutral;italian;cheap;neutral;evening ;;;;;2;0;0;provide ;1;hor ;hor ;;;;neutral;neutral;italian;cheap;neutral
50;7;60;1;5;Sie möchten also italienisch essen gehen?;Ja.  ;explConfirm;;yes ;logical ;closed;0;6;1;yes ;logical ;1;0;0;0;1;0;0;0;1;0;;evening;neutral;italian;cheap;neutral;evening ;;italian ;;;2;0;0;affirm ;1;hor ;hor ;cui20 ;;;neutral;neutral;italian;cheap;neutral
