iteration;exchange_no;tar_WA;confirmation_type;taskID;system_prompt;user_utterance;sysSA;sysRep.field;userValues;userFields;Openness;indValues..y.n..;system_words;numAVPs;NLUResult.values;NLUResult.fields;Correctly.transmitted.AVPs;Deletions;Substitutions;Insertions;PA.CO;PA.PA;PA.FA;PA.IC;X.constraints.left.in.agenda;numGoalChanges;indices.of.provided.restaurants;user.task.time;user.task.date;user.task.foodtype;user.task.price;user.task.localization;system.state.time;system.state.date;system.state.foodtype;system.state.price;system.state.localization;numConceptsIntroducedSoFar;ASRModel.used..1.simple..2.abstract..3.concrete.;barge.in;userSA;user_words;structS.time;structS.date;structS.foodtype;structS.price;structS.localization;user.scen.time;user.scen.date;user.scen.foodtype;user.scen.price;user.scen.localization
14;3;70;0;4;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;Ja.  ;offerModification;logical;yes ;logical ;choice;0;13;1;;;0;1;0;0;0;0;1;0;1;0;;neutral;neutral;italian;average;querenburg;midday ;;italian ;;querenburg wetter ;2;0;0;accept ;1;hor ;hor ;cui20 ;;loc12 loc16 ;neutral;neutral;italian;average;querenburg
14;4;70;0;4;Vielen dank, dass Sie Boris benutzt haben. Auf Wiederhören und einen schönen Tag!;;bye;bye;;;na;0;13;0;;;NA;NA;NA;NA;NA;NA;NA;NA;1;0;;neutral;neutral;italian;average;querenburg;midday ;;italian ;;querenburg wetter ;2;NA;0;;0;hor ;hor ;cui20 ;;loc12 loc16 ;neutral;neutral;italian;average;querenburg
18;1;100;0;3;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Ich möchte gerne in der Mittagspause in der Innenstadt chinesisch essen gehen.  ;request;ALL;chinese midday centre ;foodtype time localization ;open;1;41;3;chinese centre yes ;foodtype localization logical ;2;1;0;1;0;0;0;1;1;0;;midday;neutral;chinese;expensive;centre;;;;;;3;0;0;provide ;12;;;;;;midday;neutral;chinese;expensive;centre
18;2;100;0;3;Suchen Sie ein Restaurant für das Mittagessen oder für das Abendessen?;Für das Mittagessen.  ;request;time;midday ;time ;choice;1;11;1;midday ;time ;1;0;0;0;1;0;0;0;1;0;;midday;neutral;chinese;expensive;centre;;;chinese ;;centre ;3;0;0;provide ;3;;hor ;cui35 ;;loc01 ;midday;neutral;chinese;expensive;centre
18;3;100;0;3;An welchem Tag beabsichtigen Sie essen zu gehen? ;Am Montag.  ;request;date;monday ;date ;closed;0;8;1;monday ;date ;1;0;0;0;1;0;0;0;1;1;;midday;monday;chinese;expensive;centre;midday ;;chinese ;;centre ;4;0;0;provide ;2;hor ;hor ;cui35 ;;loc01 ;midday;neutral;chinese;expensive;centre
18;4;100;0;3;Wieviel möchten Sie ungefähr pro Person ausgeben?;Es darf schon die hohe Preiskategorie sein.  ;request;price;expensive ;price ;closed;0;7;1;;;0;1;0;0;0;0;1;0;0;1;;midday;monday;chinese;expensive;centre;midday ;monday ;chinese ;;centre ;5;0;0;provide ;7;;;cui35 ;;loc01 ;midday;neutral;chinese;expensive;centre
18;5;100;0;3;Wieviel möchten Sie ungefähr pro Person ausgeben?;Beliebig.  ;request;price;neutral ;price ;closed;0;7;1;;;0;1;0;0;0;0;1;0;0;2;;midday;monday;chinese;neutral;centre;midday ;monday ;chinese ;;centre ;6;0;0;provide ;1;;hor ;cui35 ;;loc01 ;midday;neutral;chinese;neutral;centre
18;6;100;0;3;Wieviel möchten Sie ungefähr pro Person ausgeben?;50 Euro.  ;request;price;expensive ;price ;closed;0;7;1;expensive ;price ;1;0;0;0;1;0;0;0;0;3;;midday;monday;chinese;expensive;centre;midday ;monday ;chinese ;;centre ;6;0;0;provide ;2;hor ;hor ;cui35 ;;loc01 ;midday;neutral;chinese;neutral;centre
18;7;100;0;3;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;Hm, 20 Euro, den Preis.  ;offerModification;logical;average price ;price field ;choice;0;13;2;average price ;price field ;2;0;0;0;1;0;0;0;0;4;;midday;monday;chinese;average;centre;midday ;monday ;chinese ;expensive ;centre ;8;0;0;provide ;5;hor ;hor ;cui35 ;prx8 ;loc01 ;midday;neutral;chinese;neutral;centre
18;8;100;0;3;Vielen dank, dass Sie Boris benutzt haben. Auf Wiederhören und einen schönen Tag!;;bye;bye;;;na;0;13;0;;;NA;NA;NA;NA;NA;NA;NA;NA;0;4;;midday;monday;chinese;average;centre;midday ;monday ;chinese ;average expensive ;centre ;8;NA;0;;0;hor ;hor ;cui35 ;prx7 ;loc01 ;midday;neutral;chinese;neutral;centre
20;1;100;0;5;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Ich suche ein italienisches Restaurant in der Innenstadt Bochums, dass abends geöffnet hat.  ;request;ALL;italian evening centre ;foodtype time localization ;open;1;41;3;evening centre foodtype ;time localization field ;2;1;0;1;0;0;0;1;0;0;;evening;neutral;italian;neutral;centre;;;;;;3;0;0;provide ;13;;;;;;evening;neutral;italian;neutral;centre
20;2;100;0;5;Sie können zwischen den folgenden Möglichkeiten wählen: italienische, französische, griechische oder chinesische Küche oder keine Präferenz.;Italienische Küche.  ;indicateValues;foodtype;italian ;foodtype ;choice;1;16;1;italian foodtype ;foodtype field ;1;0;0;1;0;0;0;1;0;0;;evening;neutral;italian;neutral;centre;evening ;;;;centre ;3;0;0;provide ;2;hor3 hor6 hor9 hor12 hor15 hor18 hor21 ;;;;loc01 ;evening;neutral;italian;neutral;centre
20;3;100;0;5;An welchem Tag beabsichtigen Sie essen zu gehen? ;Sonntags.  ;request;date;sunday ;date ;closed;0;8;1;sunday ;date ;1;0;0;0;1;0;0;0;0;1;;evening;sunday;italian;neutral;centre;evening ;;italian ;;centre ;4;0;0;provide ;1;hor3 hor6 hor9 hor12 hor15 hor18 hor21 ;hor ;cui20 ;;loc01 ;evening;neutral;italian;neutral;centre
20;4;100;0;5;Wieviel möchten Sie ungefähr pro Person ausgeben?;20 Euro.  ;request;price;average ;price ;closed;0;7;1;average ;price ;1;0;0;0;1;0;0;0;0;2;;evening;sunday;italian;average;centre;evening ;sunday ;italian ;;centre ;5;0;0;provide ;2;hor21 ;hor21 ;cui20 ;;loc01 ;evening;neutral;italian;neutral;centre
20;5;100;0;5;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;Ja, preislich.  ;offerModification;logical;yes price ;logical field ;choice;0;13;2;yes price ;logical field ;2;0;0;0;1;0;0;0;1;3;;evening;sunday;italian;expensive;centre;evening ;sunday ;italian ;average ;centre ;6;0;0;accept provide ;2;hor21 ;hor21 ;cui20 ;prx7 ;loc01 ;evening;neutral;italian;neutral;centre
20;6;100;0;5;Sie können die Art der Küche, die Tageszeit oder den Preis der Mahlzeit, den ungefähren Ort des Restaurants oder dessen Öffnungszeiten ändern. Geben Sie bitte Ihre Änderung an.;Preis 20 Euro erhöhen auf 50.  ;request;field;expensive price ;price field ;closed;1;28;2;average price ;price field ;1;0;1;0;0;0;0;1;0;3;;evening;sunday;italian;expensive;centre;evening ;sunday ;italian ;average ;centre ;7;0;0;provide ;6;hor21 ;hor21 ;cui20 ;prx7 ;loc01 ;evening;neutral;italian;neutral;centre
20;7;100;0;5;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;Ja.  ;offerModification;logical;yes ;logical ;choice;0;13;1;yes ;logical ;1;0;0;0;1;0;0;0;1;4;;evening;sunday;french;neutral;neutral;evening ;sunday ;italian ;average ;centre ;7;0;0;accept ;1;hor21 ;hor21 ;cui20 ;prx7 ;loc01 ;evening;neutral;italian;neutral;centre
20;8;100;0;5;Sie können die Art der Küche, die Tageszeit oder den Preis der Mahlzeit, den ungefähren Ort des Restaurants oder dessen Öffnungszeiten ändern. Geben Sie bitte Ihre Änderung an.;Französische Küche, Ort beliebig, Preis beliebig.  ;request;field;french neutral neutral ;foodtype price localization ;closed;1;28;3;price foodtype ;field field ;0;3;0;2;0;0;0;1;0;4;;evening;sunday;french;neutral;neutral;evening ;sunday ;italian ;average ;centre ;10;0;0;provide ;6;hor21 ;hor21 ;cui20 ;prx7 ;loc01 ;evening;neutral;italian;neutral;centre
20;9;100;0;5;Sie haben folgende Auswahlmöglichkeiten: obere, mittlere, oder untere Preisklasse oder keine Präferenz.;Mittlere Preisklasse.  ;indicateValues;price;average ;price ;choice;1;12;1;average ;price ;1;0;0;0;1;0;0;0;0;5;;evening;sunday;french;average;neutral;evening ;sunday ;italian ;average ;centre ;10;0;0;provide ;2;hor21 ;hor21 ;cui20 ;prx7 ;loc01 ;evening;neutral;italian;neutral;centre
20;10;100;0;5;Hier ist das passende Restaurant auf Ihre Anfrage.  {Da Capo                  Springerplatz 34} Vielen dank, dass Sie Boris benutzt haben. Auf Wiederhören und einen schönen Tag! ;;inform;;;;na;0;25;0;;;NA;NA;NA;NA;NA;NA;NA;NA;0;5;121;evening;sunday;french;average;neutral;evening ;sunday ;italian ;average ;centre ;10;NA;0;;0;hor21 ;hor21 ;cui20 ;prx3 prx4 prx5 ;loc01 ;evening;neutral;italian;neutral;centre
28;1;60;1;3;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Ich möchte gerne in der Innenstadt chinesisch essen gehen, zur Mittagspause. ;request;ALL;chinese midday centre ;foodtype time localization ;open;1;41;3;indian centre neutral ;foodtype localization logical ;1;1;1;1;0;0;0;1;1;0;;midday;neutral;chinese;expensive;centre;;;;;;3;0;0;provide ;11;;;;;;midday;neutral;chinese;expensive;centre
28;2;60;1;3;Sie möchten also in der Innenstadt indisch essen gehen?;Nein, chinesisch essen gehen. ;explConfirm;;chinese ;foodtype ;closed;0;9;1;midday no ;time logical ;0;1;0;2;0;0;0;1;1;0;;midday;neutral;chinese;expensive;centre;;;indian ;;centre ;3;0;0;provide ;4;;hor ;cui34 ;;loc01 ;midday;neutral;chinese;expensive;centre
28;3;60;1;3;Wiederholen Sie bitte die Art der Küche.;Chinesisch. ;repetitionRequest;foodtype;chinese ;foodtype ;closed;0;7;1;;;0;1;0;0;0;0;1;0;1;0;;midday;neutral;chinese;expensive;centre;midday ;;;;;3;0;0;provide ;1;hor02 hor5 hor8 hor11 hor14 hor17 hor20 ;hor ;cui34 ;;loc01 ;midday;neutral;chinese;expensive;centre
28;4;60;1;3;Hier ist das passende Restaurant auf Ihre Anfrage.  {Taj Mahal                Kortumstr. 9    } Vielen dank, dass Sie Boris benutzt haben. Auf Wiederhören und einen schönen Tag! ;;inform;;;;na;0;25;0;;;NA;NA;NA;NA;NA;NA;NA;NA;1;0;95;midday;neutral;chinese;expensive;centre;midday ;;;;;3;NA;0;;0;hor ;hor ;cui34 ;;loc01 ;midday;neutral;chinese;expensive;centre
31;1;60;1;1;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Ja ich möchte gerne Ente essen gehen.  ;request;ALL;poultry ;foodtype ;open;1;41;1;yes ;logical ;0;1;0;1;0;0;0;1;0;0;;neutral;neutral;poultry;neutral;neutral;;;;;;1;0;0;provide ;7;;;;;;neutral;neutral;poultry;neutral;neutral
31;2;60;1;1;Vom derzeitigen System können nur die folgenden Informationen bearbeitet werden: die Art der Küche, die Tageszeit und der Preis der Mahlzeit, der ungefähre Ort des Restaurants oder dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Ich möchte gerne Ente essen.  ;indicateValues;field;poultry ;foodtype ;open;1;33;1;yes choice ;logical action ;0;1;0;2;0;0;0;1;0;0;;neutral;neutral;poultry;neutral;neutral;;;;;;1;0;0;provide ;5;;hor ;;;;neutral;neutral;poultry;neutral;neutral
31;3;60;1;1;Vom derzeitigen System können nur die folgenden Informationen bearbeitet werden: die Art der Küche, die Tageszeit und der Preis der Mahlzeit, der ungefähre Ort des Restaurants oder dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Hm. Dann möchte ich gerne Ente essen.  ;indicateValues;field;poultry ;foodtype ;open;1;33;1;yes choice ;logical action ;0;1;0;2;0;0;0;1;0;0;;neutral;neutral;poultry;neutral;neutral;;;;;;1;0;0;provide ;7;;hor ;;;;neutral;neutral;poultry;neutral;neutral
31;4;60;1;1;Vom derzeitigen System können nur die folgenden Informationen bearbeitet werden: die Art der Küche, die Tageszeit und der Preis der Mahlzeit, der ungefähre Ort des Restaurants oder dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Das geht nicht. Ähm ja, weiss ich nicht. Chinesisch Ente essen. Da geht gar nix mehr.  ;indicateValues;field;chinese poultry ;foodtype foodtype ;open;1;33;2;sunday poultry iberian yes no ;date foodtype foodtype logical logical ;1;0;1;3;0;0;0;1;0;0;;neutral;neutral;poultry;neutral;neutral;;;;;;2;0;0;provide ;16;;hor ;;;;neutral;neutral;poultry;neutral;neutral
31;5;60;1;1;Könnten Sie bitte die gewünschte Art der Küche wiederholen?;Chinesisch.  ;repetitionRequest;foodtype;chinese ;foodtype ;closed;0;9;1;chinese ;foodtype ;1;0;0;0;1;0;0;0;0;0;;neutral;neutral;poultry;neutral;neutral;;sunday ;poultry iberian ;;;2;0;0;provide ;1;;neutral ;cui11 cui23 ;;;neutral;neutral;poultry;neutral;neutral
31;6;60;1;1;Wiederholen Sie bitte die Art der Küche.;Ente.  ;repetitionRequest;foodtype;poultry ;foodtype ;closed;0;7;1;;;0;1;0;0;0;0;1;0;0;0;;neutral;neutral;poultry;neutral;neutral;;sunday ;chinese poultry iberian ;;;2;0;0;provide ;1;;neutral ;cui35 ;;;neutral;neutral;poultry;neutral;neutral
31;7;60;1;1;Suchen Sie ein Restaurant für das Mittagessen oder für das Abendessen?;Mittagessen.  ;request;time;midday ;time ;choice;1;11;1;midday ;time ;1;0;0;0;1;0;0;0;0;1;;midday;neutral;poultry;neutral;neutral;;sunday ;poultry iberian chinese ;;;3;0;0;provide ;1;;hor ;cui35 ;;;neutral;neutral;poultry;neutral;neutral
31;8;60;1;1;Sie möchten also mittags essen gehen?;Ja.  ;explConfirm;;yes ;logical ;closed;0;6;1;yes ;logical ;1;0;0;0;1;0;0;0;0;1;;midday;neutral;poultry;neutral;neutral;midday ;sunday ;poultry iberian chinese ;;;3;0;0;affirm ;1;hor ;hor ;cui35 ;;;neutral;neutral;poultry;neutral;neutral
31;9;60;1;1;Wieviel möchten Sie ungefähr pro Person ausgeben?;Nicht so viel.  ;request;price;cheap ;price ;closed;0;7;1;cheap ;price ;1;0;0;0;1;0;0;0;0;2;;midday;neutral;poultry;cheap;neutral;midday ;sunday ;poultry iberian chinese ;;;4;0;0;provide ;3;hor ;hor ;cui35 ;;;neutral;neutral;poultry;neutral;neutral
31;10;60;1;1;Sie möchten also in der unteren Preisklasse essen gehen?;Ja.  ;explConfirm;;yes ;logical ;closed;0;9;1;yes ;logical ;1;0;0;0;1;0;0;0;0;2;;midday;neutral;poultry;cheap;neutral;midday ;sunday ;poultry iberian chinese ;cheap ;;4;0;0;affirm ;1;hor ;hor ;cui35 ;prx1 prx2 prx3 ;;neutral;neutral;poultry;neutral;neutral
31;11;60;1;1;In welchem Stadtteil möchten Sie essen gehen?;In Hamme.  ;request;localization;hamme ;localization ;closed;0;7;1;hamme ;localization ;1;0;0;0;1;0;0;0;0;3;;midday;neutral;poultry;cheap;hamme;midday ;sunday ;poultry iberian chinese ;cheap ;;5;0;0;provide ;2;hor ;hor ;cui35 ;prx1 prx2 prx3 ;;neutral;neutral;poultry;neutral;neutral
31;12;60;1;1;Sie möchten also in Hamme oder Hofstede essen gehen?;Ja.  ;explConfirm;;yes ;logical ;closed;0;9;1;yes ;logical ;1;0;0;0;1;0;0;0;0;3;;midday;neutral;poultry;cheap;hamme;midday ;sunday ;poultry iberian chinese ;cheap ;hamme ;5;0;0;affirm ;1;hor ;hor ;cui35 ;prx1 prx2 prx3 ;loc15 ;neutral;neutral;poultry;neutral;neutral
31;13;60;1;1;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;Ja.  ;offerModification;logical;yes ;logical ;choice;0;13;1;yes ;logical ;1;0;0;0;1;0;0;0;1;4;;midday;neutral;poultry;cheap;weitmar;midday ;sunday ;poultry iberian chinese ;cheap ;hamme ;5;0;0;accept ;1;hor ;hor ;cui35 ;prx1 prx2 prx3 ;loc15 ;neutral;neutral;poultry;neutral;neutral
31;14;60;1;1;Sie können die Art der Küche, die Tageszeit oder den Preis der Mahlzeit, den ungefähren Ort des Restaurants oder dessen Öffnungszeiten ändern. Geben Sie bitte Ihre Änderung an.;Dann möchte ich gerne in Weitmar essen.  ;request;field;weitmar ;localization ;closed;1;28;1;week yes neutral ;date logical logical ;0;1;0;3;0;0;0;1;0;4;;midday;neutral;poultry;cheap;weitmar;midday ;sunday ;poultry iberian chinese ;cheap ;hamme ;6;0;0;provide ;7;hor ;hor ;cui35 ;prx1 prx2 prx3 ;loc15 ;neutral;neutral;poultry;neutral;neutral
31;15;60;1;1;Könnten Sie bitte den gewünschten Wochentag wiederholen?;Sonntag.  ;repetitionRequest;date;sunday ;date ;closed;0;7;1;sunday ;date ;1;0;0;0;1;0;0;0;0;5;;midday;sunday;poultry;cheap;weitmar;midday ;week sunday ;poultry iberian chinese ;cheap ;hamme ;7;0;0;provide ;1;hor ;hor01 hor02 hor3 hor4 hor5 hor6 hor7 hor8 hor9 hor10 hor11 hor12 hor13 hor14 hor15 ;cui35 ;prx1 prx2 prx3 ;loc15 ;neutral;neutral;poultry;neutral;neutral
31;16;60;1;1;Sie möchten also Sonntag essen gehen?;Ja.  ;explConfirm;;yes ;logical ;closed;0;6;1;yes ;logical ;1;0;0;0;1;0;0;0;0;5;;midday;sunday;poultry;cheap;weitmar;midday ;sunday week ;poultry iberian chinese ;cheap ;hamme ;7;0;0;affirm ;1;;;cui35 ;prx1 prx2 prx3 ;loc15 ;neutral;neutral;poultry;neutral;neutral
31;17;60;1;1;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;Ja.  ;offerModification;logical;yes ;logical ;choice;0;13;1;yes time ;logical field ;1;0;0;1;0;0;0;1;0;5;;midday;sunday;poultry;cheap;langendreer;midday ;sunday ;poultry iberian chinese ;cheap ;hamme ;7;0;0;accept ;1;;hor ;cui35 ;prx1 prx2 prx3 ;loc15 ;neutral;neutral;poultry;neutral;neutral
31;18;60;1;1;Sie können die Art der Küche, die Tageszeit oder den Preis der Mahlzeit, den ungefähren Ort des Restaurants oder dessen Öffnungszeiten ändern. Geben Sie bitte Ihre Änderung an.;Dann möchte ich gerne in Bochum Werne essen gehen.  ;request;field;langendreer ;localization ;closed;1;28;1;langendreer yes ;localization logical ;1;0;0;1;0;0;0;1;0;6;;midday;sunday;poultry;cheap;langendreer;midday ;sunday ;poultry iberian chinese ;cheap ;hamme ;8;0;0;provide ;9;;hor ;cui35 ;prx1 prx2 prx3 ;loc15 ;neutral;neutral;poultry;neutral;neutral
31;19;60;1;1;Wiederholen Sie bitte den Ort des Restaurants.;Werne.  ;repetitionRequest;localization;langendreer ;localization ;closed;0;7;1;langendreer ;localization ;1;0;0;0;1;0;0;0;0;6;;midday;sunday;poultry;cheap;langendreer;midday ;sunday ;poultry iberian chinese ;cheap ;langendreer hamme ;8;0;0;provide ;1;;hor ;cui35 ;prx1 prx2 prx3 ;loc5 ;neutral;neutral;poultry;neutral;neutral
31;20;60;1;1;Sie möchten also in Langendreer oder Werne essen gehen?;Ja.  ;explConfirm;;yes ;logical ;closed;0;9;1;yes ;logical ;1;0;0;0;1;0;0;0;0;6;;midday;sunday;poultry;cheap;langendreer;midday ;sunday ;poultry iberian chinese ;cheap ;langendreer hamme ;8;0;0;affirm ;1;hor ;hor ;cui35 ;prx1 prx2 prx3 ;loc5 ;neutral;neutral;poultry;neutral;neutral
31;21;60;1;1;Hier ist das passende Restaurant auf Ihre Anfrage.  {Uri                      Werner Hellweg 465} Vielen dank, dass Sie Boris benutzt haben. Auf Wiederhören und einen schönen Tag! ;;inform;;;;na;0;25;0;;;NA;NA;NA;NA;NA;NA;NA;NA;0;6;94;midday;sunday;poultry;cheap;langendreer;midday ;sunday ;poultry iberian chinese ;cheap ;langendreer ;8;NA;0;;0;hor ;hor ;cui35 ;prx1 prx2 prx3 ;loc5 ;neutral;neutral;poultry;neutral;neutral
33;1;70;1;3;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Ich möchte in der Mittagspause in der Innenstadt chinesisch essen gehen, relativ teuer.  ;request;ALL;chinese midday expensive centre ;foodtype time price localization ;open;1;41;4;chinese expensive centre ;foodtype price localization ;3;1;0;0;0;1;0;0;0;0;;midday;neutral;chinese;expensive;centre;;;;;;4;0;0;provide ;13;;;;;;midday;neutral;chinese;expensive;centre
33;2;70;1;3;Sie möchten also in der Innenstadt in der oberen Preisklasse chinesisch essen gehen?;Ja.  ;explConfirm;;yes ;logical ;closed;0;13;1;yes ;logical ;1;0;0;0;1;0;0;0;0;0;;midday;neutral;chinese;expensive;centre;;;chinese ;expensive ;centre ;4;0;0;affirm ;1;;hor ;cui35 ;prx5 prx6 prx7 prx8 ;loc01 ;midday;neutral;chinese;expensive;centre
